"","instr","college_student","inFavor_inclusion_diffRating_in_Qguide","strongOpin","age","male","gender_TEXT","yearSchool","condition","instr_A","product_clean1","product_neutral1","product_neutral2","product_clean2","product_clean3","product_neutral3","product_clean4","product_neutral4","product_neutral5","product_clean5","selfAliena_1","selfAliena_2","selfAliena_3","selfAliena_4","amountChoice_writing_essay","av_products_clean","av_products_neutral","self_alienation","amount_choice","cond_Num"
385,1,1,1,6,19,0,"            ","Sophomore","High_Choice   ",1,5,6,1,5,2,2,4,1,1,3,5,4,3,3,3,3.8,2.2,3.75,3,1
386,1,1,1,7,19,0,"            ","2017","High_Choice   ",1,5,5,5,5,4,3,3,3,7,5,2,2,2,2,7,4.4,4.6,2,7,1
387,1,1,1,7,20,1,"            ","Junior","High_Choice   ",1,2,4,3,3,3,3,3,2,5,2,1,1,1,1,7,2.6,3.4,1,7,1
388,1,1,0,6,25,0,"            ","3","No_Choice     ",1,3,5,4,6,5,2,4,3,5,4,5,6,6,7,6,4.4,3.8,6,6,0
389,1,1,1,7,24,0,"            ","Dental Medicine","No_Choice     ",1,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,7,0
390,1,1,1,7,24,1,"            ","3","ProAttitudinal",1,4,6,5,4,6,5,7,6,5,6,5,6,6,7,5,5.4,5.4,6,5,2
391,1,1,1,5,22,1,"            ","Senior","High_Choice   ",1,6,4,4,4,4,5,6,3,4,4,3,2,2,2,1,4.8,4,2.25,1,1
392,1,1,1,4,19,0,"            ","junior","No_Choice     ",1,3,3,4,3,3,3,3,4,4,3,5,5,5,5,1,3,3.6,5,1,0
393,1,1,1,7,19,3,"N/A         ","2016","No_Choice     ",1,5,6,6,6,5,7,5,2,1,7,1,1,2,2,2,5.6,4.4,1.5,2,0
394,1,1,1,6,21,1,"            ","2015","High_Choice   ",1,6,6,4,4,5,5,5,3,1,6,3,2,2,2,2,5.2,3.8,2.25,2,1
395,1,1,1,7,20,0,"            ","Junior","No_Choice     ",1,4,4,1,1,1,4,4,1,1,1,2,2,2,2,1,2.2,2.2,2,1,0
396,1,1,1,5,21,0,"            ","Senior","ProAttitudinal",1,5,4,2,5,1,2,3,1,1,1,2,1,1,1,5,3,2,1.25,5,2
397,1,1,1,7,20,0,"            ","2016","ProAttitudinal",1,6,4,5,3,2,1,1,1,4,1,2,2,2,2,7,2.6,3,2,7,2
398,1,1,1,6,21,0,"            ","senior","High_Choice   ",1,6,4,7,3,2,6,6,2,5,4,2,2,2,2,6,4.2,4.8,2,6,1
399,1,1,1,6,20,1,"            ","Junior","ProAttitudinal",1,5,3,4,5,4,4,5,4,5,4,2,2,2,2,6,4.6,4,2,6,2
400,1,1,1,5,20,1,"            ","Junior","No_Choice     ",1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,2,2,3,4,0
401,1,1,1,7,21,1,"            ","Sophomore","High_Choice   ",1,7,5,6,5,5,5,6,1,2,3,1,1,1,1,1,5.2,3.8,1,1,1
402,1,1,1,3,19,1,"            ","Sophomore","No_Choice     ",1,6,7,3,4,4,5,6,1,4,3,4,2,2,2,4,4.6,4,2.5,4,0
403,1,1,1,6,17,0,"            ","Freshman","High_Choice   ",1,5,6,7,6,4,6,6,5,6,6,4,4,4,4,5,5.4,6,4,5,1
