district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
OH-05,OH,5,Bob Latta,R,34.9,64.2,-29.3,37.7,61.4,-23.8,1
OH-06,OH,6,Michael Rulli,R,32.8,66.4,-33.7,32.3,66.9,-34.6,1
OH-07,OH,7,Max Miller,R,44.3,54.9,-10.6,44,55.1,-11.1,1
OH-08,OH,8,Warren Davidson,R,37.7,61.4,-23.7,41.7,57.3,-15.6,1
OH-09,OH,9,Marcy Kaptur,D,46.2,52.9,-6.7,44.2,54.8,-10.6,1
OH-10,OH,10,Mike Turner,R,46.6,52.4,-5.7,45.6,53.4,-7.8,1
OH-11,OH,11,Shontel Brown,D,77.2,22.1,55.1,77.2,22.1,55.1,0
OH-12,OH,12,Troy Balderson,R,33.2,65.9,-32.7,34.5,64.6,-30.1,1
OH-13,OH,13,Emilia Sykes,D,49.6,49.5,0,51.2,47.9,3.3,1
OH-14,OH,14,Dave Joyce,R,40.6,58.5,-17.9,39.4,59.8,-20.4,1
OH-15,OH,15,Mike Carey,R,44.9,54.1,-9.2,44.5,54.5,-10,1
OK-01,OK,1,Kevin Hern,R,38.2,59.7,-21.5,38.2,59.7,-21.5,0
OK-02,OK,2,Josh Brecheen,R,21.4,77,-55.6,21.4,77,-55.6,0
OK-03,OK,3,Frank Lucas,R,26.3,71.8,-45.5,26.3,71.8,-45.5,0
OK-04,OK,4,Tom Cole,R,32.4,65.7,-33.2,32.4,65.7,-33.2,0
OK-05,OK,5,Stephanie Bice,R,40,57.8,-17.7,40,57.8,-17.7,0
OR-01,OR,1,Suzanne Bonamici,D,67.2,29.4,37.8,67.2,29.4,37.8,0
OR-02,OR,2,Cliff Bentz,R,35.1,62.2,-27.1,35.1,62.2,-27.1,0
OR-03,OR,3,Maxine Dexter,D,71.3,25.3,46,71.3,25.3,46,0
OR-04,OR,4,Val Hoyle,D,54.5,42.4,12.1,54.5,42.4,12.1,0
OR-05,OR,5,Janelle Bynum,D,52.8,44.2,8.5,52.8,44.2,8.5,0
OR-06,OR,6,Andrea Salinas,D,54.1,42.8,11.4,54.1,42.8,11.4,0
PA-01,PA,1,Brian Fitzpatrick,R,49.7,49.4,0.3,49.7,49.4,0.3,0
PA-02,PA,2,Brendan Boyle,D,67.3,31.5,35.7,67.3,31.5,35.7,0
PA-03,PA,3,Dwight Evans,D,88.1,10.7,77.3,88.1,10.7,77.3,0
